Utility	tick		Utility	tick		Utility	tick		Utility
1888337,626	270		1796458,346	270		1874024,085	270		1852940,019
1957432,259	990		1874501,181	990		1851381,452	990		1894438,297
1857811,095	1710		1949618,844	1710		1902205,199	1710		1903211,713
1924748,091	2430		1919113,963	2430		1971265,948	2430		1938376,001
1950790,436	3150		1914658,989	3150		1946668,322	3150		1937372,582
1570585,733	3870		1583200,996	3870		1609203,701	3870		1587663,477
1613839,132	4590		1588630,122	4590		1593699,975	4590		1598723,076
1914389,658	5310		1919604,416	5310		1941073,327	5310		1925022,467
1924866,333	6030		2010887,871	6030		1890859,405	6030		1942204,536
1904519,563	6750		1941194,342	6750		1857992,474	6750		1901235,46
1991176,714	7470		1919940,605	7470		1872482,736	7470		1927866,685
1918619,681	8190		1927214,771	8190		1984044,321	8190		1943292,925
1598917,366	8910		1584482,242	8910		1556943,614	8910		1580114,407
1558489,127	9630		1596748,594	9630		1600227,757	9630		1585155,159
1871901,475	10350		1937108,191	10350		1883192,959	10350		1897400,875
1906728,392	11070		1916122,905	11070		1923881,797	11070		1915577,698
1943136,382	11790		1923198,937	11790		1950008,428	11790		1938781,249
1959738,443	12510		1948343,166	12510		1913444,837	12510		1940508,815
1873636,765	13230		1914783,649	13230		1923760,642	13230		1904060,352
1584819,88	13950		1588275,646	13950		1602322,817	13950		1591806,114
1573520,257	14670		1638083,314	14670		1621331,719	14670		1610978,43
1904762,942	15390		1927654,669	15390		1897914,765	15390		1910110,792
1906226,186	16110		1915533,166	16110		1900565,541	16110		1907441,631
1906098,119	16830		1883403,084	16830		1827577,157	16830		1872359,453
1874382,198	17550		1908285,581	17550		1992305,793	17550		1924991,191
1909908,797	18270		1915196,741	18270		1936847,676	18270		1920651,071
1591185,805	18990		1610413,676	18990		1611195,77	18990		1604265,084
1642414,383	19710		1584142,009	19710		1609051,172	19710		1611869,188
1935066,01	20430		1896069,694	20430		1905110,855	20430		1912082,186
1967942,366	21150		1970941,35	21150		1918989,866	21150		1952624,527
1896932,359	21870		1930693,86	21870		1950867,294	21870		1926164,504
1909488,294	22590		1987440,429	22590		1857138,451	22590		1918022,391
1869165,829	23310		1882674,795	23310		1885616,712	23310		1879152,445
1579348,664	24030		1575440,861	24030		1633476,22	24030		1596088,582
1630928,506	24750		1593251,233	24750		1593927,945	24750		1606035,895
1944772,699	25470		1908148,953	25470		1932141,16	25470		1928354,271
1881601,696	26190		1926081,286	26190		1926007,231	26190		1911230,071
1935384,141	26910		1927277,019	26910		1879240,052	26910		1913967,071
1863077,634	27630		1899105,397	27630		1910114,5	27630		1890765,844
1885663,838	28350		1955399,087	28350		1902830,633	28350		1914631,186
1610988,756	29070		1593995,711	29070		1602905,485	29070		1602629,984
1572654,047	29790		1615050,156	29790		1590698,385	29790		1592800,863
1930141,337	30510		1902681,139	30510		1849053,342	30510		1893958,606
1964093,076	31230		1951266,218	31230		1901212,732	31230		1938857,342
1983042,513	31950		1905006,173	31950		1930545,863	31950		1939531,516
1873162,09	32670		1910916,47	32670		1930779,466	32670		1904952,675
1996493,593	33390		1887331,869	33390		1930585,143	33390		1938136,868
1584431,029	34110		1597581,986	34110		1574154,145	34110		1585389,053
1584594,309	34830		1551487,797	34830		1612325,836	34830		1582802,647
1833531,509	35550		1866315,288	35550		1868100,461	35550		1855982,419
1947676,407	36270		1991881,013	36270		1880651,439	36270		1940069,619
1888203,285	36990		1885525,065	36990		2006077,814	36990		1926602,055
1909715,65	37710		1838885,881	37710		1898989,105	37710		1882530,212
1879111,556	38430		1842409,974	38430		1849202,135	38430		1856907,889
1579959,978	39150		1576221,548	39150		1603975,763	39150		1586719,096
1625807,736	39870		1652426,703	39870		1591934,429	39870		1623389,623
1918617,282	40590		1965702,001	40590		1889806,879	40590		1924708,72
1894834,777	41310		1951140,577	41310		1892390,433	41310		1912788,595
1919585,948	42030		1891691,97	42030		1896057,403	42030		1902445,107
1894427,957	42750		1915048,071	42750		1904305,585	42750		1904593,871
1877706,295	43470		1853014,754	43470		1892973,7	43470		1874564,916
1585002,907	44190		1584203,415	44190		1586911,735	44190		1585372,686
1592936,999	44910		1577659,728	44910		1592174,166	44910		1587590,298
1893587,928	45630		1848947,549	45630		1895624,418	45630		1879386,632
1942891,314	46350		1878114,129	46350		1851719,712	46350		1890908,385
1957953,374	47070		1939057,036	47070		1913137,789	47070		1936716,066
1908843,584	47790		1943308,35	47790		1862017,989	47790		1904723,308
1889976,846	48510		1875755,217	48510		1899509,09	48510		1888413,718
1611149,043	49230		1572773,335	49230		1614764,202	49230		1599562,193
1596609,389	49950		1588355,498	49950		1619366,522	49950		1601443,803
1834534,368	50670		1946451,13	50670		1943064,538	50670		1908016,679
1927916,44	51390		1869792,436	51390		1909353,674	51390		1902354,183
1884952,565	52110		2003579,72	52110		1837095,178	52110		1908542,488
1883002,616	52830		1950438,166	52830		1993840,809	52830		1942427,197
1883380,851	53550		1947044,495	53550		1907584,594	53550		1912669,98
1605717,312	54270		1572909,951	54270		1551382,849	54270		1576670,038
1586579,17	54990		1593995,525	54990		1619726,255	54990		1600100,317
1963823,647	55710		1867823,646	55710		1877870,597	55710		1903172,63
1909031,465	56430		1851401,627	56430		1880460,383	56430		1880297,825
1774310,223	57150		1858799,33	57150		1971173,251	57150		1868094,268
1937646,63	57870		1929121,611	57870		1907100,787	57870		1924623,009
1951281,052	58590		1926489,322	58590		1927645,154	58590		1935138,509
1618621,431	59310		1597285,188	59310		1582304,438	59310		1599403,686
1599536,932	60030		1571144,116	60030		1635444,734	60030		1602041,927
1980685,965	60750		1933906,325	60750		1933890,695	60750		1949494,328
1945404,449	61470		1951318,754	61470		1902189,594	61470		1932970,932
1890967,568	62190		1909095,064	62190		1955760,46	62190		1918607,698
1942378,455	62910		1846198,896	62910		1898104,28	62910		1895560,543
1924380,39	63630		1932977,079	63630		1902665,844	63630		1920007,771
1564219,508	64350		1551244,086	64350		1627128,704	64350		1580864,099
1611193,732	65070		1588443,975	65070		1585096,779	65070		1594911,495
1979169,853	65790		1930148,187	65790		1972687,772	65790		1960668,604
1860261,141	66510		1926395,223	66510		1889911,153	66510		1892189,172
1874962,446	67230		1922328,039	67230		1971046,323	67230		1922778,936
1934774,804	67950		1907950,598	67950		1882100,833	67950		1908275,411
1968333,532	68670		1902163,485	68670		1957289,718	68670		1942595,578
1583262,351	69390		1609030,368	69390		1577179,165	69390		1589823,961
1543762,417	70110		1637704,143	70110		1603737,345	70110		1595067,968
1933964,953	70830		1944581,328	70830		1871243,433	70830		1916596,571
1892303,236	71550		1951695,892	71550		1924971,375	71550		1922990,167
1893846,731	72270		1931589,052	72270		1914089,106	72270		1913174,963
1902719,985	72990		1894332,204	72990		1931368,711	72990		1909473,633
1913461,871	73710		1847517,087	73710		1906031,856	73710		1889003,605
1616441,217	74430		1570925,653	74430		1597183,393	74430		1594850,087
1580439,52	75150		1594548,876	75150		1575131,918	75150		1583373,438
1955575,289	75870		1901973,512	75870		1958274,176	75870		1938607,659
1935173,392	76590		1971084,514	76590		1873998,989	76590		1926752,298
1928198,383	77310		1899377,144	77310		1920341,493	77310		1915972,34
1884568,484	78030		1901118,815	78030		1873987,766	78030		1886558,355
1886838,165	78750		1886400,108	78750		1887311,949	78750		1886850,074
1576928,921	79470		1570766,811	79470		1588146,748	79470		1578614,16
1575660,446	80190		1616137,172	80190		1560340,188	80190		1584045,935
1890997,935	80910		1937953,564	80910		1883477,649	80910		1904143,049
1872760,259	81630		1938052,331	81630		1954937,395	81630		1921916,661
1935518,406	82350		1904450,509	82350		1820804,979	82350		1886924,631
1930415,489	83070		1909076,486	83070		1927587,301	83070		1922359,759
1894116,666	83790		1937689,371	83790		1930931,698	83790		1920912,578
1576726,381	84510		1594122,785	84510		1571551,624	84510		1580800,263
1606617,163	85230		1592455,163	85230		1591635,751	85230		1596902,692
1924161,756	85950		1880310,501	85950		1891420,061	85950		1898630,773
1932931,533	86670		1918468,441	86670		1903267,999	86670		1918222,658
1914564,872	87390		1951064,147	87390		1953106,607	87390		1939578,542
1853035,04	88110		1998032,063	88110		1889297,185	88110		1913454,763
1920752,537	88830		1925412,111	88830		1935304,046	88830		1927156,231
1600183,596	89550		1593505,103	89550		1595773,345	89550		1596487,348
1576542,332	90270		1564258,133	90270		1614799,681	90270		1585200,048
1960649,877	90990		1874372,206	90990		1926833,864	90990		1920618,649
1937310,091	91710		1906765,336	91710		1978347,497	91710		1940807,642
1889786,012	92430		1952920,546	92430		1882719,575	92430		1908475,378
1916928,636	93150		1872843,341	93150		1976525,056	93150		1922099,011
1881575,029	93870		1928790,135	93870		1936630,901	93870		1915665,355
1586756,661	94590		1565248,688	94590		1577363,285	94590		1576456,211
1586139,998	95310		1611598,771	95310		1603514,175	95310		1600417,648
1922154,991	96030		1900832,535	96030		1926641,111	96030		1916542,879
1870550,345	96750		1908538,615	96750		1893271,97	96750		1890786,977
1887539,238	97470		1959596,453	97470		1829907,256	97470		1892347,649
1893239,353	98190		1954161,543	98190		1950790,025	98190		1932730,307
1943709,851	98910		1928106,44	98910		1954293,322	98910		1942036,538
1622368,705	99630		1581446,82	99630		1579194,468	99630		1594336,664
1623362,205	100350		1609956,721	100350		1589535,868	100350		1607618,264
1919691,458	101070		1922496,381	101070		1885574,105	101070		1909253,982
1855584,326	101790		1848536,032	101790		1915736,33	101790		1873285,563
1880635,348	102510		1947129,478	102510		1917422,847	102510		1915062,558
