"Utility","tick"
1960172.3054345937,270.0
1889836.0792507657,990.0
1899395.1201755493,1710.0
1880572.6783833718,2430.0
1869941.3608561922,3150.0
1593398.5487070081,3870.0
1601758.3286281924,4590.0
1951698.7772763588,5310.0
1930857.1684267037,6030.0
1916981.6049034938,6750.0
1848580.6015073156,7470.0
1898993.2272558187,8190.0
1617567.2855468288,8910.0
1579055.247755605,9630.0
1853954.5735120045,10350.0
1900856.3671629522,11070.0
1890492.8252672974,11790.0
1904074.170291085,12510.0
1933651.760670653,13230.0
1591151.9570503887,13950.0
1574839.358971498,14670.0
1899222.5915989317,15390.0
1968803.6168592365,16110.0
1907083.0560231963,16830.0
1898051.7383388425,17550.0
1874627.419032811,18270.0
1574860.3276201119,18990.0
1636892.9960327754,19710.0
1942012.992489284,20430.0
1863525.123855191,21150.0
1912842.2521428533,21870.0
1898342.1050543452,22590.0
1872610.3561497177,23310.0
1555212.761716658,24030.0
1570669.2571356304,24750.0
1992070.122657313,25470.0
1888474.7679459797,26190.0
1907438.046213383,26910.0
1937745.2123368082,27630.0
1912445.8384098115,28350.0
1621444.8643249087,29070.0
1597445.028352669,29790.0
1881838.552258768,30510.0
1940022.4142291495,31230.0
1908680.5596698443,31950.0
1893965.9453795045,32670.0
1954557.860794468,33390.0
1605033.1468917022,34110.0
1579033.1534078927,34830.0
1920800.4417901414,35550.0
1898328.8855820538,36270.0
1927205.2081324072,36990.0
1939764.792149278,37710.0
1937696.0008949235,38430.0
1626287.4476323929,39150.0
1580716.9548999798,39870.0
1850543.265863784,40590.0
1915002.1958777998,41310.0
1849806.9316623304,42030.0
1940736.1816832763,42750.0
1935698.619259431,43470.0
1590925.5176346416,44190.0
1605106.1230295252,44910.0
1916240.8723173065,45630.0
1888710.7499806369,46350.0
1888196.7528598804,47070.0
1983810.7492214846,47790.0
1843945.9256844248,48510.0
1559597.1825578418,49230.0
1615036.0777401621,49950.0
1925848.392030346,50670.0
1867485.2240994659,51390.0
1892924.281075701,52110.0
1924939.5912930267,52830.0
1887774.046909299,53550.0
1596310.7602713325,54270.0
1605499.9002020308,54990.0
1963737.6989449428,55710.0
1984058.7397831464,56430.0
1824855.0543988543,57150.0
1888729.0662261192,57870.0
1958654.480305421,58590.0
1621601.1928711394,59310.0
1582596.3949029301,60030.0
1877780.4036563002,60750.0
1876420.4633118617,61470.0
1925461.7483181516,62190.0
1897981.0397393757,62910.0
1980997.7970039553,63630.0
1561079.8584890566,64350.0
1564844.7329782583,65070.0
1904667.614001025,65790.0
1979285.440661298,66510.0
1795557.8390072058,67230.0
1945759.836199481,67950.0
1956695.091011939,68670.0
1577288.277059186,69390.0
1596486.6415150242,70110.0
1920777.1527116743,70830.0
1905769.5671739741,71550.0
1934070.5648449203,72270.0
1953313.547597053,72990.0
1951426.3749910418,73710.0
1568022.023337413,74430.0
1609000.3989680263,75150.0
1909540.9603218716,75870.0
1873368.9609150216,76590.0
1841433.1804114506,77310.0
1900044.8041389321,78030.0
1943615.5203750008,78750.0
1578506.5424332523,79470.0
1561292.3851838505,80190.0
1939309.8067445175,80910.0
1911754.2938611163,81630.0
1897856.344746468,82350.0
1898174.2836374019,83070.0
1897801.148270299,83790.0
1581072.254668697,84510.0
1568921.2537750357,85230.0
1979927.7814195906,85950.0
1930738.653029573,86670.0
1965365.156962194,87390.0
1922282.941858328,88110.0
1920960.5375390665,88830.0
1537384.341545664,89550.0
1604054.9054009707,90270.0
1840619.2942766666,90990.0
1915905.2292654738,91710.0
1918261.5320158598,92430.0
1949582.7490336655,93150.0
1886181.2468596415,93870.0
1635688.8375144282,94590.0
1610597.6506472165,95310.0
1959414.9036077727,96030.0
1911983.0143335564,96750.0
1885737.7330453752,97470.0
1915969.9830243723,98190.0
1867498.8184253746,98910.0
1594598.1033680548,99630.0
1608562.9205941882,100350.0
1880204.7461281999,101070.0
1914857.6499066614,101790.0
1901153.9061968427,102510.0
1930141.5364381277,103230.0
1897184.8451015244,103950.0
1566695.7295805775,104670.0
1575393.7294553085,105390.0
1920806.4886565036,106110.0
1926324.8119343752,106830.0
1827040.6882369944,107550.0
1944281.8834019806,108270.0
1869075.5879944556,108990.0
1635555.7176343082,109710.0
1574867.2489632475,110430.0
1902746.4450565542,111150.0
1946814.91832182,111870.0
1913595.3492175366,112590.0
1956012.1851259691,113310.0
1901735.0130167464,114030.0
1578283.667411987,114750.0
1602443.5747760963,115470.0
1881297.3554094995,116190.0
1927861.3945655916,116910.0
1887671.2383818578,117630.0
1904523.1956972957,118350.0
1894556.8670436905,119070.0
1597276.2518813675,119790.0
1615277.9262791944,120510.0
1949260.3162317113,121230.0
1925941.7576114254,121950.0
1900306.9308745987,122670.0
1920792.5964620397,123390.0
1829200.8291237433,124110.0
1574904.8127427534,124830.0
1605539.535439948,125550.0
1940590.825324279,126270.0
1945681.0014456415,126990.0
1880402.8908968652,127710.0
1913815.1381307533,128430.0
1891062.880938151,129150.0
1595027.065225757,129870.0
1566459.9488688123,130590.0
1964837.1723834611,131310.0
1894629.6740221672,132030.0
1852051.0218639323,132750.0
1849152.6320934372,133470.0
1920219.2138240342,134190.0
1576381.3758773324,134910.0
1588348.4763654808,135630.0
1835384.4940463775,136350.0
1949464.716177608,137070.0
1949241.2968915598,137790.0
1915941.9932971022,138510.0
1925136.092558524,139230.0
1606181.7673967583,139950.0
1580114.754193821,140670.0
1884702.351860976,141390.0
1871998.8252728933,142110.0
1946711.7287347603,142830.0
1953013.9722518437,143550.0
1895670.1725157092,144270.0
1578002.8615069727,144990.0
1615889.982226189,145710.0
1861499.1032011986,146430.0
1951392.5506931867,147150.0
1920274.8190693113,147870.0
1879904.039474428,148590.0
1941373.9697813226,149310.0
1647540.4311889233,150030.0
1605339.382522481,150750.0
1910217.9368932445,151470.0
1922502.9058400383,152190.0
1843283.305512198,152910.0
1867912.687355356,153630.0
1922378.2209156482,154350.0
1556387.5920140774,155070.0
1597213.2240312635,155790.0
1918649.653626635,156510.0
1895191.8936976246,157230.0
1862331.3648062008,157950.0
1943060.1792436552,158670.0
1911571.5722962166,159390.0
1570473.3133625556,160110.0
1605119.4075566425,160830.0
1935922.770458953,161550.0
1898332.040817419,162270.0
1884423.7552373458,162990.0
1919614.9236001216,163710.0
1890998.4617730726,164430.0
1610992.9099264196,165150.0
1592724.209105898,165870.0
1879767.521723874,166590.0
1936893.119334623,167310.0
1798440.7921168213,168030.0
1934173.6178876474,168750.0
1931125.9477134603,169470.0
1596904.8840604243,170190.0
1556498.1370879936,170910.0
1900101.7743633047,171630.0
1896035.5936277767,172350.0
1956344.8773343978,173070.0
1893389.8892757758,173790.0
1957186.725539556,174510.0
1580863.7972265838,175230.0
1597835.4234690412,175950.0
