"Utility","tick"
1902875.638255838,270.0
1934206.0584951178,990.0
1931863.62380577,1710.0
1894521.2130279087,2430.0
1888548.3988193579,3150.0
1618668.2460400313,3870.0
1595612.779017669,4590.0
1906861.2971537837,5310.0
1857010.0477938843,6030.0
1906982.7829369078,6750.0
1970766.7451211088,7470.0
1876331.3204498948,8190.0
1587896.6535250226,8910.0
1611643.460996415,9630.0
1951620.2077519665,10350.0
1899725.2271866433,11070.0
1951316.284178842,11790.0
1903950.213734307,12510.0
1942268.3902832146,13230.0
1563902.9725512585,13950.0
1590605.789309252,14670.0
1949889.6936304322,15390.0
1946264.9188612367,16110.0
1920255.4075114774,16830.0
1929637.2514715334,17550.0
1864453.7979045503,18270.0
1615227.9149975972,18990.0
1584688.6338453311,19710.0
1919892.9463667783,20430.0
1945395.8281991924,21150.0
1900800.7241074126,21870.0
1909381.8971469817,22590.0
1913040.7525999155,23310.0
1523968.5994453155,24030.0
1605845.6477273402,24750.0
1886392.1640856182,25470.0
1928626.2347095245,26190.0
1920269.6878153384,26910.0
1879106.5866044436,27630.0
1884264.2700874975,28350.0
1560649.6338216104,29070.0
1639050.5884082648,29790.0
1905953.9055402027,30510.0
2006699.6730573645,31230.0
2009587.159747621,31950.0
1922126.7038812144,32670.0
1893227.5164294944,33390.0
1578339.1207233598,34110.0
1573439.3733035084,34830.0
1881660.5835865417,35550.0
1982692.235513142,36270.0
1892317.744567852,36990.0
1909753.963460513,37710.0
1896497.0643277636,38430.0
1598916.5430909453,39150.0
1575246.6188688017,39870.0
1937063.704760031,40590.0
1878524.3675278116,41310.0
1884950.4410400852,42030.0
1931278.6300275326,42750.0
1948227.9110010162,43470.0
1552411.7749031507,44190.0
1582093.16096852,44910.0
1982712.1754562503,45630.0
1877640.1122539823,46350.0
1910728.1712519662,47070.0
1957247.0515740716,47790.0
1919372.9694680208,48510.0
1595473.8733055624,49230.0
1590168.8241731748,49950.0
1955381.8787713898,50670.0
1938118.9388596057,51390.0
1906302.5494364994,52110.0
1892319.571975074,52830.0
1874107.9716845197,53550.0
1559042.8981401771,54270.0
1569656.1730408787,54990.0
1928820.2135589821,55710.0
1862879.5446803193,56430.0
1883982.9662166866,57150.0
1913763.5103771484,57870.0
1914080.8484191909,58590.0
1584416.1078039873,59310.0
1607278.834752768,60030.0
1895749.2478485527,60750.0
1974738.8012540105,61470.0
1942617.4175744911,62190.0
1947699.9561170521,62910.0
1825405.142877276,63630.0
1599739.1654782328,64350.0
1604841.05068003,65070.0
1905634.8262447987,65790.0
1965830.9004736317,66510.0
1887398.4479913956,67230.0
1923781.33569914,67950.0
1893736.5567760442,68670.0
1592883.7786235367,69390.0
1625852.362981588,70110.0
1830841.047231716,70830.0
1943571.7491299072,71550.0
1892565.4782796847,72270.0
1916769.3657294614,72990.0
1898194.8974884613,73710.0
1586027.9013208502,74430.0
1590857.6896636134,75150.0
1889083.6593742494,75870.0
1933985.99990906,76590.0
1935001.2280976796,77310.0
1894101.7711255203,78030.0
1870527.891295829,78750.0
1581677.3198300889,79470.0
1564087.5688853797,80190.0
1939435.509642288,80910.0
1954263.128724679,81630.0
1935539.1091362427,82350.0
1854406.6647012492,83070.0
1871955.6158277348,83790.0
1574128.115782845,84510.0
1604092.0516363762,85230.0
1879466.435175073,85950.0
1861186.1736168214,86670.0
1841651.66973675,87390.0
1956609.6072755984,88110.0
1920907.9896433118,88830.0
1617991.5659064094,89550.0
1603990.780304271,90270.0
1917474.9489034624,90990.0
1910317.259272574,91710.0
1914547.012947824,92430.0
1960462.7137467558,93150.0
1914886.6961070413,93870.0
1627862.0078293786,94590.0
1600988.2725077267,95310.0
1843911.1874272109,96030.0
1920638.4099785676,96750.0
2020641.793257564,97470.0
1927652.5313400934,98190.0
1914359.9436627761,98910.0
1610899.4259825922,99630.0
1593123.145013426,100350.0
1947128.5134933565,101070.0
1924658.8315154829,101790.0
1933966.3178843653,102510.0
1895591.2298727834,103230.0
1910543.150798455,103950.0
1580561.398618688,104670.0
1563272.2487155837,105390.0
1984384.687294651,106110.0
1918516.0238459646,106830.0
1910315.8729119825,107550.0
1880951.4589457307,108270.0
