"Utility","tick"
1874024.0854667397,270.0
1851381.45175145,990.0
1902205.199322335,1710.0
1971265.948085094,2430.0
1946668.3218611733,3150.0
1609203.7010749436,3870.0
1593699.9751564376,4590.0
1941073.32711558,5310.0
1890859.404679077,6030.0
1857992.4739995734,6750.0
1872482.7357826813,7470.0
1984044.320959131,8190.0
1556943.6141977878,8910.0
1600227.7570362403,9630.0
1883192.9586774658,10350.0
1923881.7972916705,11070.0
1950008.4278244518,11790.0
1913444.8366890554,12510.0
1923760.641828378,13230.0
1602322.8170492214,13950.0
1621331.7186760444,14670.0
1897914.7649940874,15390.0
1900565.540957438,16110.0
1827577.1567200539,16830.0
1992305.7932555296,17550.0
1936847.6758029903,18270.0
1611195.770143546,18990.0
1609051.1723214597,19710.0
1905110.8549526734,20430.0
1918989.8660065609,21150.0
1950867.2941755652,21870.0
1857138.450588023,22590.0
1885616.7118813852,23310.0
1633476.2197254738,24030.0
1593927.945146417,24750.0
1932141.1603650493,25470.0
1926007.2305327652,26190.0
1879240.0521063223,26910.0
1910114.499921894,27630.0
1902830.633415653,28350.0
1602905.4850126286,29070.0
1590698.3853440115,29790.0
1849053.3418722455,30510.0
1901212.7323262433,31230.0
1930545.8630798259,31950.0
1930779.4663311713,32670.0
1930585.1427023336,33390.0
1574154.1448336788,34110.0
1612325.8362822714,34830.0
1868100.4607372954,35550.0
1880651.4388166654,36270.0
2006077.8140035649,36990.0
1898989.1054418315,37710.0
1849202.1351424288,38430.0
1603975.7629107854,39150.0
1591934.4292510801,39870.0
1889806.878940564,40590.0
1892390.432528185,41310.0
1896057.4025393561,42030.0
1904305.5847964524,42750.0
1892973.6999197642,43470.0
1586911.7347773968,44190.0
1592174.1659084135,44910.0
1895624.4179914345,45630.0
1851719.7122461596,46350.0
1913137.78878123,47070.0
1862017.9891890415,47790.0
1899509.0898747682,48510.0
1614764.2022447826,49230.0
1619366.5220456137,49950.0
1943064.5376801495,50670.0
1909353.673755818,51390.0
1837095.1777866853,52110.0
1993840.8092385505,52830.0
1907584.5941967655,53550.0
1551382.8491074217,54270.0
1619726.2547642125,54990.0
1877870.596948946,55710.0
1880460.3833359594,56430.0
1971173.251120077,57150.0
1907100.7871391284,57870.0
1927645.1538054943,58590.0
1582304.438437662,59310.0
1635444.7336445632,60030.0
1933890.694669953,60750.0
1902189.5939839433,61470.0
1955760.4604614025,62190.0
1898104.279857585,62910.0
1902665.844161538,63630.0
1627128.7036970695,64350.0
1585096.7791965078,65070.0
1972687.7723521672,65790.0
1889911.1529093457,66510.0
1971046.322773463,67230.0
1882100.8326681561,67950.0
1957289.717546303,68670.0
1577179.1646868659,69390.0
1603737.3447555914,70110.0
1871243.4327607525,70830.0
1924971.3749141803,71550.0
1914089.1058397947,72270.0
1931368.7105609982,72990.0
1906031.856431682,73710.0
1597183.393169231,74430.0
1575131.9181765076,75150.0
1958274.176045429,75870.0
1873998.9886933917,76590.0
1920341.4929752427,77310.0
1873987.7660380066,78030.0
1887311.9486477096,78750.0
1588146.748212631,79470.0
1560340.188004678,80190.0
1883477.6493930607,80910.0
1954937.3945113616,81630.0
1820804.9792026624,82350.0
1927587.3005166051,83070.0
1930931.6980429299,83790.0
1571551.6243555483,84510.0
1591635.7508210344,85230.0
1891420.0611109873,85950.0
1903267.9992303085,86670.0
1953106.6065503787,87390.0
1889297.1851735762,88110.0
1935304.0461655506,88830.0
1595773.3449035648,89550.0
1614799.680510828,90270.0
1926833.8640166253,90990.0
1978347.497271491,91710.0
1882719.5746097448,92430.0
1976525.0560914418,93150.0
1936630.901325903,93870.0
1577363.2851534109,94590.0
1603514.174522485,95310.0
1926641.1112360212,96030.0
1893271.9702749674,96750.0
1829907.2557377897,97470.0
1950790.025113781,98190.0
1954293.3218696467,98910.0
1579194.4678237026,99630.0
1589535.8675313643,100350.0
1885574.1054065616,101070.0
1915736.330413222,101790.0
1917422.8467774438,102510.0
1900472.9621471015,103230.0
1845859.1121713773,103950.0
1559937.5006465404,104670.0
1568488.6282065702,105390.0
1959397.141285219,106110.0
1915520.8935485783,106830.0
1948518.5738214138,107550.0
1927177.1997323777,108270.0
1872520.354852599,108990.0
1600963.777926272,109710.0
1582630.363283047,110430.0
1946679.3189649924,111150.0
1888010.9774791417,111870.0
1842479.5629089493,112590.0
1882554.6333326737,113310.0
1957625.1759747649,114030.0
1590139.9823376636,114750.0
1583566.714794287,115470.0
1891442.3255960015,116190.0
1924645.4605188733,116910.0
1885551.8009361709,117630.0
1929938.997027767,118350.0
1904106.80227469,119070.0
1612689.9751652847,119790.0
1594111.1097415541,120510.0
1900859.8032058906,121230.0
1964553.5546177132,121950.0
1925546.7169291547,122670.0
1908147.155999257,123390.0
1930006.7850892774,124110.0
1592506.4078538057,124830.0
1588882.2086065596,125550.0
1952557.2091036048,126270.0
1859978.0381120045,126990.0
1990529.5257573035,127710.0
1911796.7829381062,128430.0
1917594.3526715578,129150.0
1554208.1038901268,129870.0
1595432.60701153,130590.0
1893086.6342823226,131310.0
1908871.9691342276,132030.0
1900565.6760843715,132750.0
1925172.228140005,133470.0
1913783.4770667627,134190.0
1598922.422167871,134910.0
1610239.712338681,135630.0
1940012.2501657838,136350.0
1862914.9785402939,137070.0
1899178.3467016178,137790.0
1943998.2420238445,138510.0
