"Utility","tick"
1864700.154332262,270.0
1874241.5367197962,990.0
1900002.1351984602,1710.0
1912346.7154776633,2430.0
1965547.9765554133,3150.0
1583862.4008286318,3870.0
1606571.2660403128,4590.0
1895941.421245044,5310.0
1906027.11584311,6030.0
1869782.0811135531,6750.0
1931827.9163215174,7470.0
1938513.7768614215,8190.0
1582917.2460567541,8910.0
1608000.0503256393,9630.0
1903364.4170395334,10350.0
1902848.052664503,11070.0
1922403.675000772,11790.0
1943175.0585907255,12510.0
1941398.6641187894,13230.0
1595984.0994575447,13950.0
1621705.3775578127,14670.0
1919270.8796263381,15390.0
1931072.3444533113,16110.0
1876269.6925893566,16830.0
1925363.5435069562,17550.0
1907254.6509302994,18270.0
1629929.629139829,18990.0
1600879.3264738212,19710.0
1923284.7937946455,20430.0
1947677.1182026144,21150.0
1922980.5366087763,21870.0
1895318.6742071602,22590.0
1891176.3645159025,23310.0
1613302.1162031917,24030.0
1582702.371153754,24750.0
1948251.653319353,25470.0
1956426.0373567462,26190.0
1845103.7965580262,26910.0
1953437.3655883826,27630.0
1914046.8446746008,28350.0
1609218.1728813956,29070.0
1594656.5127757278,29790.0
1882835.4607836758,30510.0
1896860.6459382502,31230.0
1962286.7088642104,31950.0
1961492.3042494326,32670.0
1914894.1596962921,33390.0
1578329.310568482,34110.0
1598525.4885418424,34830.0
1831543.1573529104,35550.0
1867409.6292082118,36270.0
1961583.9473794834,36990.0
1923338.0490660209,37710.0
1907161.47321291,38430.0
1612112.1989839266,39150.0
1593350.980811598,39870.0
1947547.894500189,40590.0
1933387.3193942902,41310.0
1894472.164592821,42030.0
1872034.897196125,42750.0
1936414.234295843,43470.0
1591565.5009749967,44190.0
1616898.1575552896,44910.0
1931227.893706936,45630.0
1858897.6895346288,46350.0
1909645.3330197386,47070.0
1895185.890737687,47790.0
1836050.6231279322,48510.0
1602311.5252645689,49230.0
1638836.0322237983,49950.0
1915229.888180934,50670.0
1937033.4749149359,51390.0
1842435.5226284245,52110.0
1925764.6778682484,52830.0
1979848.680032545,53550.0
1555312.867487092,54270.0
1635700.8377439904,54990.0
1914044.8850233718,55710.0
1915621.6228230293,56430.0
1948625.4735479143,57150.0
1947728.9587211474,57870.0
1971485.969212269,58590.0
1596706.6602532305,59310.0
1635520.3459016818,60030.0
1967685.7854689697,60750.0
1854851.5521226511,61470.0
1943131.0594676388,62190.0
1906026.1483082012,62910.0
1936730.5422984627,63630.0
1637112.3850090918,64350.0
1579988.4801071577,65070.0
1932920.7973545042,65790.0
1876816.4260968824,66510.0
1923717.7464180295,67230.0
1901775.499985352,67950.0
1948370.326005461,68670.0
1570748.2959225364,69390.0
1595921.3294975776,70110.0
1913611.7976672153,70830.0
1896548.508538812,71550.0
1975066.3913830386,72270.0
1931074.954458808,72990.0
1893217.7108145587,73710.0
1581690.5059040897,74430.0
1597813.1445534092,75150.0
1929911.7900473634,75870.0
1838299.041705452,76590.0
1905871.2964163078,77310.0
1895197.388049125,78030.0
1882240.4628398984,78750.0
1605780.7488844602,79470.0
1564922.9117510684,80190.0
1899955.9234260668,80910.0
1941871.6868296938,81630.0
1872887.9270894583,82350.0
1920716.408829006,83070.0
1967358.7768683385,83790.0
1565441.3245798312,84510.0
1580584.139363136,85230.0
1847381.2718827259,85950.0
1896623.0210610148,86670.0
1914359.990309069,87390.0
1949386.0152746458,88110.0
1955881.3531579413,88830.0
1596379.7792181587,89550.0
1597396.3794453768,90270.0
1957367.4168010105,90990.0
1910315.9652931606,91710.0
1922006.3090524073,92430.0
1903408.7460471413,93150.0
1919712.9787075769,93870.0
1589195.7192432093,94590.0
1620155.1659482678,95310.0
1953498.57198377,96030.0
1896311.5891313574,96750.0
1926031.0701583256,97470.0
2013518.875281309,98190.0
1931875.7003648088,98910.0
1567195.977300308,99630.0
1578260.2203564763,100350.0
1910381.0191482073,101070.0
1885477.5102033857,101790.0
1930763.4895589778,102510.0
1967572.8382978814,103230.0
1859078.0602648295,103950.0
1572758.2532461085,104670.0
1579585.8185159906,105390.0
1956503.4369035228,106110.0
1900993.5461905096,106830.0
1944251.9438503953,107550.0
1937424.9229831968,108270.0
1894074.3537608166,108990.0
1614910.5206203086,109710.0
1567021.8427593033,110430.0
1912866.0349951084,111150.0
1881855.3330266392,111870.0
1855890.0978941466,112590.0
1863504.3396699133,113310.0
1935693.4648894938,114030.0
1581055.1977828867,114750.0
1593672.8192637535,115470.0
1960820.8705244346,116190.0
1877747.5218835706,116910.0
1897951.0469520658,117630.0
1964363.3495153352,118350.0
1924086.4138967292,119070.0
1613111.3640115946,119790.0
1592801.980356505,120510.0
1891188.1844658644,121230.0
1908550.4486164805,121950.0
1910779.883102523,122670.0
1868821.141604829,123390.0
1942688.376573536,124110.0
1611813.1596706882,124830.0
1590346.4825953026,125550.0
1887240.1033927216,126270.0
1836061.540644752,126990.0
1963126.3132274512,127710.0
1967298.5862097482,128430.0
1887778.934894305,129150.0
1548969.8809076813,129870.0
1586473.2383163585,130590.0
1933721.9874594153,131310.0
1875731.140031164,132030.0
1964813.6521283211,132750.0
1909286.523925768,133470.0
1906280.5609753304,134190.0
1627669.7829072466,134910.0
1632685.6692831113,135630.0
1878038.8109373362,136350.0
1948443.7645584666,137070.0
1858599.1546680178,137790.0
1925372.6039039074,138510.0
1937610.8195116369,139230.0
1566423.8747611411,139950.0
1581751.6863743085,140670.0
1914009.6904606975,141390.0
1906514.8943798223,142110.0
1911405.8812334323,142830.0
1917470.7358411103,143550.0
1915362.3197622483,144270.0
1586113.920869553,144990.0
1605303.4179985404,145710.0
