"Utility","tick"
3727954.8809092804,270.0
3748049.473252448,990.0
3807109.074467933,1710.0
3765264.730985426,2430.0
3738135.5543061947,3150.0
3171938.0919194142,3870.0
3143872.642014223,4590.0
3737520.370149118,5310.0
3866875.614784548,6030.0
3806178.309970973,6750.0
3822801.745442929,7470.0
3749836.529769745,8190.0
3193044.4650162775,8910.0
3119628.6282297955,9630.0
3894726.736717608,10350.0
3887315.4697807017,11070.0
3845981.039709547,11790.0
3809035.2634854075,12510.0
3812377.783729305,13230.0
3171206.044982568,13950.0
3164685.085547735,14670.0
3841775.0985535337,15390.0
3820234.168812486,16110.0
3772646.705094794,16830.0
3786766.342360543,17550.0
3726270.359811622,18270.0
3118983.3312527887,18990.0
3173268.2134681675,19710.0
3749215.9140481874,20430.0
3821900.5291278935,21150.0
3744296.082367303,21870.0
3802756.3596626557,22590.0
3721247.2125514564,23310.0
3107495.953513895,24030.0
3192448.3856224436,24750.0
3763747.473926532,25470.0
3778148.783531807,26190.0
3838901.053885339,26910.0
3898187.1162080187,27630.0
3842015.601045432,28350.0
3143183.9008106883,29070.0
3152201.5320951617,29790.0
3773703.4035516363,30510.0
3802377.798137166,31230.0
3872352.9625588483,31950.0
3798657.4695984484,32670.0
3822244.627837958,33390.0
3169886.5010705623,34110.0
3169349.34170047,34830.0
3685647.3944415995,35550.0
3818976.8759166393,36270.0
3830658.738539899,36990.0
3749681.320382344,37710.0
3685828.1261508707,38430.0
3149285.439213285,39150.0
3157173.212309618,39870.0
3811520.6588822557,40590.0
3698797.84460377,41310.0
3767916.078269028,42030.0
3787656.639467042,42750.0
3815707.621753503,43470.0
3186500.7979682037,44190.0
3239575.6679637525,44910.0
3765482.8856241954,45630.0
3754784.9264756627,46350.0
3836593.371399666,47070.0
3828989.6949263453,47790.0
3746142.963083947,48510.0
3167996.2212918676,49230.0
3137681.2314305026,49950.0
3877617.8675413136,50670.0
3819947.9243282615,51390.0
3772318.677155287,52110.0
3879270.3877173,52830.0
3736486.975105064,53550.0
3236912.3957342166,54270.0
3153859.7014808976,54990.0
3825311.638778759,55710.0
3732527.002674745,56430.0
3854946.089789366,57150.0
3703005.053770483,57870.0
3764639.5786423585,58590.0
3161458.490413061,59310.0
3226663.2305974173,60030.0
3854484.1617856617,60750.0
3804279.303643772,61470.0
3794382.255056163,62190.0
3903264.2735859933,62910.0
3822335.932810304,63630.0
3180996.4377891175,64350.0
3137584.134640025,65070.0
3821056.2447341667,65790.0
3794916.8941636723,66510.0
3790063.651140409,67230.0
3929379.334827666,67950.0
3836312.1600116594,68670.0
3218749.7280805367,69390.0
3126938.4082502145,70110.0
3791866.44657987,70830.0
3834638.6220660517,71550.0
3788036.1022191723,72270.0
3888771.8294989266,72990.0
3880234.6817537597,73710.0
3178717.4860582016,74430.0
3173136.0652835816,75150.0
3772086.7823105957,75870.0
3718982.6573805814,76590.0
3755845.1507095834,77310.0
3827012.7572970926,78030.0
3783531.8493810836,78750.0
3126275.1187554523,79470.0
3231063.8027375406,80190.0
3783150.617337607,80910.0
3796295.2953181276,81630.0
3814660.9078620123,82350.0
3800137.425568816,83070.0
3831786.859445548,83790.0
3230366.8175502075,84510.0
3171292.929162743,85230.0
3821643.0345529085,85950.0
3776992.9335375954,86670.0
3777129.9082884067,87390.0
3784660.068583811,88110.0
3744772.619824993,88830.0
3107744.6233557165,89550.0
3213486.2599772234,90270.0
3749846.036961852,90990.0
3787831.562188148,91710.0
3794124.045577347,92430.0
3763798.138238966,93150.0
3759386.0471755266,93870.0
3165127.2458888846,94590.0
3162243.9366056933,95310.0
3819331.91853429,96030.0
3804600.0143582853,96750.0
3804522.192271285,97470.0
3815365.7696719537,98190.0
3846218.2300926377,98910.0
3214624.33031027,99630.0
3142761.052345165,100350.0
3833719.109210131,101070.0
3785746.9519764474,101790.0
3855465.7010492235,102510.0
3816016.2461930085,103230.0
3863951.18312384,103950.0
3203606.174198805,104670.0
3162499.725312067,105390.0
3967338.6842483478,106110.0
3669378.526280731,106830.0
3866040.505362401,107550.0
3846716.705918018,108270.0
3805769.4030289124,108990.0
3158546.4618896456,109710.0
3188276.658041505,110430.0
3838338.386317507,111150.0
3745101.4295588504,111870.0
3811947.988665801,112590.0
3753941.42529458,113310.0
3842386.267789263,114030.0
3193931.630326506,114750.0
3190341.1043443093,115470.0
3846838.6195455017,116190.0
3892596.5867066165,116910.0
3811402.430128947,117630.0
3801649.898871893,118350.0
3774281.2345216363,119070.0
3176101.7724432945,119790.0
3173310.6363548185,120510.0
3772160.1909048827,121230.0
3806144.663076279,121950.0
3800082.763441379,122670.0
3788266.7071369733,123390.0
3850505.039172155,124110.0
3188591.093739293,124830.0
3171594.7515484523,125550.0
3784143.3145672055,126270.0
3725908.597974686,126990.0
3696598.071907001,127710.0
3804512.7896214803,128430.0
3700125.133708554,129150.0
3192408.66835917,129870.0
3160959.1449829764,130590.0
3794128.504223153,131310.0
3777439.5741150603,132030.0
3885809.2142987777,132750.0
3798274.2004209356,133470.0
3849579.0335247577,134190.0
3139086.31773288,134910.0
3162228.6055838596,135630.0
3847155.4051236757,136350.0
3792014.98005673,137070.0
3793814.201388339,137790.0
3816787.8732491606,138510.0
3841610.3056933163,139230.0
3246251.0091394708,139950.0
3191342.139153748,140670.0
3832791.1767605757,141390.0
3792970.679356085,142110.0
3867869.985887429,142830.0
3799484.8850284494,143550.0
3792018.8597637108,144270.0
3140957.0204824894,144990.0
3172824.76374594,145710.0
3664961.4739014697,146430.0
3821852.5270220493,147150.0
3782472.336442312,147870.0
3727428.310824528,148590.0
3814708.488607856,149310.0
3163960.06640652,150030.0
3173287.9737839215,150750.0
3876451.463316619,151470.0
3855064.6318047107,152190.0
3810400.898268928,152910.0
3897631.3008180624,153630.0
3840920.3519388568,154350.0
3159595.16154595,155070.0
3225981.2014145767,155790.0
3877978.192022309,156510.0
3741306.5545216743,157230.0
3800208.5173050216,157950.0
3803347.3202248123,158670.0
3850150.099571174,159390.0
3142019.5972344317,160110.0
3221560.2284963587,160830.0
3779579.5981249744,161550.0
3814692.2649303507,162270.0
3848685.354312635,162990.0
3769128.397033165,163710.0
3780627.897769583,164430.0
3149460.3884034236,165150.0
3131208.6713586864,165870.0
3709051.0985495164,166590.0
3786201.785071539,167310.0
3865465.4145264304,168030.0
3852864.706092741,168750.0
3790775.117261029,169470.0
3141406.7509854636,170190.0
3123616.5453580404,170910.0
3873314.7077580383,171630.0
3835937.5790816057,172350.0
3798983.0799623434,173070.0
3790991.075914116,173790.0
3829509.1052930425,174510.0
3195139.02392653,175230.0
3164250.6748066717,175950.0
