"Utility","tick"
1910388.1285042004,270.0
1919926.980375042,990.0
1894484.4952968375,1710.0
1882354.815752866,2430.0
1918724.4633739004,3150.0
1645232.993797391,3870.0
1577791.3915987778,4590.0
1922745.903714946,5310.0
1929245.155045725,6030.0
1876740.7997437473,6750.0
1923405.9194922447,7470.0
1858476.0541267635,8190.0
1604530.9260776155,8910.0
1603283.5232654945,9630.0
1903769.6594516058,10350.0
1913243.6687330646,11070.0
1965794.1366314231,11790.0
1932610.6913438162,12510.0
1906799.123509591,13230.0
1596620.8811812,13950.0
1613231.6692101103,14670.0
1910766.3743744928,15390.0
1900389.4610274131,16110.0
1904041.2901539023,16830.0
1941157.9219208949,17550.0
1914615.7623233267,18270.0
1596139.1529406135,18990.0
1589185.4682774364,19710.0
1870667.614634991,20430.0
1888887.48791004,21150.0
1932254.4653663517,21870.0
1856121.0002478834,22590.0
1860459.0936132383,23310.0
1575518.2311062927,24030.0
1600413.125587417,24750.0
1841876.6493033227,25470.0
1954347.2918587774,26190.0
1924998.103503733,26910.0
1929958.2215700438,27630.0
1955767.0887693453,28350.0
1602968.434333155,29070.0
1564899.4512605108,29790.0
1965562.728995647,30510.0
1904061.6681813034,31230.0
2026981.8670852021,31950.0
1902645.1797307655,32670.0
1974773.262917898,33390.0
1664763.436220553,34110.0
1599288.9081333498,34830.0
1931405.8920641015,35550.0
1935088.671942765,36270.0
1879968.072169836,36990.0
1960180.7647925995,37710.0
1967504.8130219297,38430.0
1564449.9460538607,39150.0
1647778.060945785,39870.0
1883949.9487146968,40590.0
2013026.120447243,41310.0
1883169.455723859,42030.0
1946843.9089641809,42750.0
1816720.9996588733,43470.0
1592345.741875695,44190.0
1643433.611097204,44910.0
1862113.49561376,45630.0
1895249.9234114732,46350.0
1945804.6268473982,47070.0
1931841.7085504315,47790.0
1918604.1968983163,48510.0
1616921.8124416021,49230.0
1570779.4901660536,49950.0
1925374.7829926375,50670.0
1942650.1752060258,51390.0
1951039.108927618,52110.0
1899354.7762242467,52830.0
1962255.3009527351,53550.0
1631694.9538564044,54270.0
1566696.0897449688,54990.0
1881607.8285112183,55710.0
1937781.2440486266,56430.0
1886925.868579334,57150.0
1920401.3792807509,57870.0
1926261.731687527,58590.0
1583892.2886345612,59310.0
1599729.926794866,60030.0
1847020.2743060344,60750.0
1915239.8755931125,61470.0
1930733.5768752012,62190.0
1919953.1441474007,62910.0
1872614.7854125719,63630.0
1569580.5443504488,64350.0
1561342.4725676007,65070.0
1926441.5554215484,65790.0
1939532.5502291473,66510.0
1923169.1479798588,67230.0
1880282.554556403,67950.0
1951810.5955291034,68670.0
1581832.9497381833,69390.0
1593365.5600363377,70110.0
1896897.9837430737,70830.0
1910406.3583756872,71550.0
1848010.905201477,72270.0
1972349.8476396066,72990.0
1900858.83762033,73710.0
1586195.4658051901,74430.0
1596216.9206509725,75150.0
1936912.9461918834,75870.0
1939622.7609767737,76590.0
1975600.712571566,77310.0
1959813.5133780022,78030.0
1915276.9092679147,78750.0
1559677.5539121747,79470.0
1610544.9008291182,80190.0
1934017.693657977,80910.0
1896513.9011571154,81630.0
1947545.5116572808,82350.0
1920909.933487732,83070.0
1898742.1550067149,83790.0
1569286.8766549274,84510.0
1539312.8733203586,85230.0
1872757.1020077437,85950.0
1887447.3070888054,86670.0
1948324.4971294368,87390.0
1893947.1021652096,88110.0
1904449.2931581528,88830.0
1614084.4839540967,89550.0
1642482.0692081263,90270.0
1938456.2295684929,90990.0
1868842.6796670184,91710.0
1901802.321790449,92430.0
1864104.5101457243,93150.0
1938182.4426787812,93870.0
1563824.150584594,94590.0
1595153.6949758795,95310.0
1924009.0542060458,96030.0
1920043.7201602464,96750.0
1895576.5105817148,97470.0
1916148.4353713547,98190.0
1923406.1097362153,98910.0
1544152.9802619417,99630.0
1583459.6055323095,100350.0
1932794.8089508724,101070.0
1931041.2051505218,101790.0
1882383.3445731516,102510.0
1935715.6241869526,103230.0
1847148.7587748559,103950.0
1558914.5187770631,104670.0
1573884.2927682349,105390.0
1903561.933037388,106110.0
1904804.0753188373,106830.0
1966415.002013949,107550.0
1881215.0667595346,108270.0
1837187.8870006478,108990.0
1593945.6465134642,109710.0
1578402.0366653474,110430.0
1923031.3207240405,111150.0
1905501.4350568948,111870.0
1947160.1246989288,112590.0
1863109.602021597,113310.0
1872926.7503310386,114030.0
1633249.8094064526,114750.0
1591650.3932268547,115470.0
1944947.5352372734,116190.0
1884185.7649470358,116910.0
1890434.5727530706,117630.0
1946619.5412011584,118350.0
1922629.9765619293,119070.0
1582286.0876481663,119790.0
1581424.003636791,120510.0
1918237.7014636796,121230.0
1926589.644818952,121950.0
1937823.5386604425,122670.0
1921894.7235677114,123390.0
1842031.5340265252,124110.0
1566816.9974191247,124830.0
1590750.2051893442,125550.0
1957398.1584196028,126270.0
1871864.9984137458,126990.0
1945511.5052805655,127710.0
1960720.7334668285,128430.0
1943787.3630755437,129150.0
1563811.8607899093,129870.0
1628970.6255997359,130590.0
1906084.2576364274,131310.0
1920887.77621826,132030.0
1971376.0429478874,132750.0
1873786.7476257521,133470.0
1903256.1239569231,134190.0
1609661.026763776,134910.0
1598309.4150874633,135630.0
1894180.0649951028,136350.0
1913946.9794537055,137070.0
1941438.3448933999,137790.0
1943665.9771124383,138510.0
1897493.0391865522,139230.0
1620871.625292571,139950.0
1587106.7164258077,140670.0
1869511.7247684072,141390.0
1892319.661575643,142110.0
1875663.5062886174,142830.0
1911565.133432763,143550.0
1871029.4658158377,144270.0
1612719.094201866,144990.0
1569932.5465521407,145710.0
1959842.3540651705,146430.0
1853080.8894011606,147150.0
1939538.4622705528,147870.0
1872736.1431873501,148590.0
1889616.2739410084,149310.0
1576856.833599285,150030.0
1608343.0530920813,150750.0
1882009.8724751521,151470.0
1968452.3970206592,152190.0
1867631.9288098658,152910.0
1909051.4663331537,153630.0
1912423.4163098221,154350.0
1580623.2971520424,155070.0
1606415.282528684,155790.0
1936233.2200495002,156510.0
1937645.1826367162,157230.0
1910240.8239323802,157950.0
1838200.6139506958,158670.0
1880888.7750515337,159390.0
1582848.9703541724,160110.0
1592828.819152517,160830.0
1855756.65649682,161550.0
1878364.9415099367,162270.0
1936730.484503233,162990.0
1968899.882680891,163710.0
1997109.7079362625,164430.0
1594808.0569653867,165150.0
1591748.3004890035,165870.0
1923942.7892055563,166590.0
1887541.8085626068,167310.0
1963453.3371778454,168030.0
1935708.7524024127,168750.0
1901166.6856909776,169470.0
1566893.3870792524,170190.0
1636026.4556619604,170910.0
1911620.6484311488,171630.0
1894617.8085036213,172350.0
1928423.721771239,173070.0
1893509.643386145,173790.0
1946966.6304856588,174510.0
1581313.1009957741,175230.0
1594987.961084375,175950.0
