"Utility","tick"
1930103.933560261,270.0
1953858.9462781185,990.0
1874051.9956579616,1710.0
1798990.310075887,2430.0
1928130.7393370352,3150.0
1589007.1084501115,3870.0
1572018.6229117415,4590.0
1974840.6217474535,5310.0
1897717.3224695078,6030.0
1866289.1736059969,6750.0
1897309.1533529575,7470.0
1878349.222201854,8190.0
1556709.3452327268,8910.0
1573401.9746201776,9630.0
1907911.2267398923,10350.0
1912766.479852212,11070.0
1862732.970348417,11790.0
1911434.5104690269,12510.0
1916458.5149463047,13230.0
1588379.5917225576,13950.0
1586434.8683590656,14670.0
1927589.9507454361,15390.0
1942594.7008138194,16110.0
1933689.4526837599,16830.0
1933651.3848838883,17550.0
1931087.3077966732,18270.0
1574640.1305062799,18990.0
1577770.7190820782,19710.0
1947412.9716924867,20430.0
1918363.106155335,21150.0
1946051.3399056494,21870.0
1865325.1554377964,22590.0
1871750.5522451773,23310.0
1584771.0446447425,24030.0
1576507.2983141178,24750.0
1890253.2410486774,25470.0
1871910.2882858173,26190.0
1830332.896716136,26910.0
1908006.7779533267,27630.0
1903474.6379354566,28350.0
1618132.443648267,29070.0
1589086.1281545893,29790.0
1950482.2387352602,30510.0
1947078.267930458,31230.0
1904400.4765123394,31950.0
1839669.7903578947,32670.0
1907230.4400725092,33390.0
1567415.2520491006,34110.0
1563660.6568678098,34830.0
1936820.3375844692,35550.0
1874986.9230867634,36270.0
1996577.8710613553,36990.0
1867238.9026600444,37710.0
1885252.4169581532,38430.0
1602320.0229722227,39150.0
1620011.3207544934,39870.0
1871375.924868039,40590.0
1885789.598283459,41310.0
1909830.9845318089,42030.0
1901001.384199471,42750.0
1886192.1308031897,43470.0
1600550.863201932,44190.0
1571656.9550649375,44910.0
1902651.872183296,45630.0
1946864.9244548867,46350.0
1890792.7303253321,47070.0
1924448.7627262194,47790.0
1890738.1163812005,48510.0
1575875.9219042675,49230.0
1611071.4255396225,49950.0
1913488.456411023,50670.0
1915363.633545129,51390.0
1913607.280037982,52110.0
1892256.1500661103,52830.0
1876825.446730244,53550.0
1589855.542601511,54270.0
1568335.0489805124,54990.0
1960406.1403601312,55710.0
1905869.9311914013,56430.0
1873252.5797520408,57150.0
1894906.453790289,57870.0
1855729.4852096427,58590.0
1596666.6207746551,59310.0
1592187.6580712823,60030.0
1953187.5755443028,60750.0
1863888.2416391661,61470.0
1932680.7946625457,62190.0
1961578.8721907022,62910.0
1874416.3169476779,63630.0
1604166.129619046,64350.0
1577640.013786915,65070.0
1920333.944107002,65790.0
1857952.538498621,66510.0
1887156.7969249769,67230.0
1903129.7940109791,67950.0
1875458.942898046,68670.0
1604000.524463823,69390.0
1596466.7482118816,70110.0
1911194.2103321508,70830.0
