"Utility","tick"
3765483.9736076165,270.0
3805432.3977364646,990.0
3752817.470502545,1710.0
3825197.0940934545,2430.0
3860719.3154587215,3150.0
3187758.6837103316,3870.0
3127450.6747152205,4590.0
3845430.78120347,5310.0
3722367.3999641873,6030.0
3836529.4747208185,6750.0
3790671.324632153,7470.0
3922368.8224436687,8190.0
3201470.134327296,8910.0
3181788.8459547963,9630.0
3804289.9213392213,10350.0
3840791.14945701,11070.0
3821816.6096704886,11790.0
3778422.2054640125,12510.0
3749883.6864637174,13230.0
3173549.0094449553,13950.0
3176609.9502136055,14670.0
3831296.352480354,15390.0
3835481.6640168014,16110.0
3778891.209140921,16830.0
3765211.1529139476,17550.0
3852257.206190878,18270.0
3191685.26684456,18990.0
3197576.866563248,19710.0
3783317.080813311,20430.0
3860148.519623842,21150.0
3852300.078752434,21870.0
3817091.8727118103,22590.0
3784615.95019838,23310.0
3141671.7590288445,24030.0
3151674.6378946872,24750.0
3818871.6386891655,25470.0
3810248.3179411143,26190.0
3855353.0516808606,26910.0
3760812.4763722457,27630.0
3784891.1667175177,28350.0
3172047.797769397,29070.0
3185870.98930083,29790.0
3784734.264797274,30510.0
3732159.722957046,31230.0
3832484.12425389,31950.0
3833769.9949420914,32670.0
3828555.4626332596,33390.0
3199228.428626852,34110.0
3192133.9426022037,34830.0
3776028.218511645,35550.0
3844027.503731047,36270.0
3799797.0630971463,36990.0
3684916.8017766327,37710.0
3878308.313387943,38430.0
3147022.7824627077,39150.0
3174555.310094778,39870.0
3787469.0040625376,40590.0
3758879.0701557444,41310.0
3844713.870755839,42030.0
3795348.8908205307,42750.0
3867365.9855630444,43470.0
3202125.0224798247,44190.0
3183611.32770986,44910.0
3805235.078869934,45630.0
3720227.731484114,46350.0
3776175.3478450766,47070.0
3803892.6681055008,47790.0
3871830.9294348927,48510.0
3124527.8473732597,49230.0
3116903.676260345,49950.0
3766406.0891760886,50670.0
3795908.2166761397,51390.0
3768891.3870016714,52110.0
3794514.5903359563,52830.0
3812638.220703618,53550.0
3174948.943550283,54270.0
3177235.652011615,54990.0
3646647.482971763,55710.0
3783177.2005081703,56430.0
3771006.726534496,57150.0
3880605.962687091,57870.0
3861702.6811219687,58590.0
3179315.9575588014,59310.0
3204378.7111967443,60030.0
3758609.915530277,60750.0
3838284.8336282517,61470.0
3927754.9045703607,62190.0
3849152.837094384,62910.0
3811198.1773233637,63630.0
3162205.8192373416,64350.0
3203130.520256234,65070.0
3925077.4801887977,65790.0
3789470.899325036,66510.0
3856396.8742348505,67230.0
3823943.853607431,67950.0
3856415.5883807447,68670.0
3186828.0225097956,69390.0
3167293.6680845143,70110.0
3813389.0109508852,70830.0
3817519.556914304,71550.0
3828632.2777623776,72270.0
3735347.7011911278,72990.0
3813203.1443702355,73710.0
3167227.172530086,74430.0
3117159.4248641315,75150.0
3859932.799340572,75870.0
3822139.666076668,76590.0
3776656.3181589213,77310.0
3867089.8136389917,78030.0
3806456.0896706586,78750.0
3118016.9673907747,79470.0
3198683.0432733605,80190.0
3706644.1399543327,80910.0
3880453.0769486576,81630.0
3792311.013664672,82350.0
3817468.266838475,83070.0
3826016.540282659,83790.0
3171508.2830415303,84510.0
3157399.932281975,85230.0
3789611.942426679,85950.0
3716168.626106062,86670.0
