"Park Revenue","tick"
0.0,1.0
0.0,5040.0
38932.47005327626,10079.0
38658.64920559818,15118.0
39352.402194304465,20157.0
38880.18904053529,25196.0
38771.88434011487,30235.0
38822.69375373896,35274.0
38586.42653047575,40313.0
38609.76713438324,45352.0
38536.99913897129,50391.0
38328.74766650489,55430.0
37445.08811739215,60469.0
38206.70866467087,65508.0
38245.76458171108,70547.0
38908.19083256645,75586.0
40294.981609865965,80625.0
40949.09904132775,85664.0
40913.15227667503,90703.0
41208.45190744149,95742.0
40860.98486813053,100781.0
40912.56658552906,105820.0
40559.05351149539,110859.0
40916.76969750062,115898.0
40714.33127740628,120937.0
40637.26791878554,125976.0
40782.0353537132,131015.0
40700.88617662276,136054.0
40394.581719093105,141093.0
40963.734345195764,146132.0
41580.164976127664,151171.0
40692.95284538804,156210.0
39887.05602122542,161249.0
40140.50747427163,166288.0
39743.36557706813,171327.0
40177.57919655003,176366.0
