"Utility","tick"
1868231.9093222842,270.0
1885912.6742497538,990.0
1916195.7180421585,1710.0
1915984.6274283547,2430.0
1873352.3678846995,3150.0
1598610.6584915833,3870.0
1590150.2576357983,4590.0
1930482.0537015446,5310.0
1835490.940052315,6030.0
1938064.7769739777,6750.0
1984175.228613723,7470.0
1885073.7658438953,8190.0
1613426.4262638276,8910.0
1582954.2833625337,9630.0
1937480.1818434165,10350.0
2053979.1061576304,11070.0
1940321.6417153513,11790.0
1925400.553638341,12510.0
1908201.1975797578,13230.0
1580483.9341738655,13950.0
1578739.8593886856,14670.0
1860667.135435933,15390.0
1950516.8863976474,16110.0
1929510.523109279,16830.0
1880512.2542051396,17550.0
1902861.2134209883,18270.0
1586801.6757297164,18990.0
1560586.13144667,19710.0
1938802.856448664,20430.0
1924833.6972547655,21150.0
1944761.6524483976,21870.0
1847704.03804013,22590.0
1901997.5703558342,23310.0
1637208.3717857234,24030.0
1584958.336907812,24750.0
1901676.7615357991,25470.0
1965353.2481154962,26190.0
1903584.9292291303,26910.0
1937916.1293066135,27630.0
1916226.2100246698,28350.0
1589812.1358421769,29070.0
1579170.8870373291,29790.0
1929759.8856528136,30510.0
1893215.1133042169,31230.0
1876815.236285097,31950.0
1925079.4298643381,32670.0
1897507.8298490725,33390.0
1583062.8733458943,34110.0
1568794.4628716714,34830.0
1858673.1590810837,35550.0
1887531.075745028,36270.0
1936566.4874634142,36990.0
1913296.0635466934,37710.0
1952014.0767597684,38430.0
1609455.1918107464,39150.0
1616064.2583572287,39870.0
1876297.8622556692,40590.0
1947575.122023288,41310.0
1963950.3115694236,42030.0
2024759.4582785885,42750.0
1899891.938532207,43470.0
1572013.0082828922,44190.0
1549648.5725366892,44910.0
1949053.6664494246,45630.0
1921442.7613210282,46350.0
1855368.677198369,47070.0
1940302.0448128101,47790.0
1874389.65243902,48510.0
1577205.1094729598,49230.0
1612930.3531153155,49950.0
1926966.6403798207,50670.0
1898772.9247484037,51390.0
1898586.4079267231,52110.0
1928019.2342381633,52830.0
1924229.5257127292,53550.0
1595849.935606074,54270.0
1576597.2562887557,54990.0
1907389.2103793425,55710.0
1941075.7221003086,56430.0
1900941.1876839832,57150.0
1913840.4211988326,57870.0
1886376.8357377925,58590.0
1588066.0445479404,59310.0
1574868.0285501108,60030.0
1901729.1798655048,60750.0
1916347.4848590272,61470.0
1908342.8491722455,62190.0
1881024.782737411,62910.0
1879786.812530182,63630.0
1594443.1021266058,64350.0
1624349.9288902713,65070.0
1909559.1253329115,65790.0
1936415.7893186328,66510.0
1893961.236584946,67230.0
1902421.2687807027,67950.0
1915008.2035446018,68670.0
1590476.6963597168,69390.0
1531070.3618447392,70110.0
1850185.128185611,70830.0
1858873.9407959934,71550.0
1923419.1753283686,72270.0
1900433.3457397616,72990.0
1894824.4026126356,73710.0
1580602.83919806,74430.0
1573059.390360629,75150.0
1912519.983371004,75870.0
1932953.9702007077,76590.0
1937857.182695269,77310.0
1875257.292998486,78030.0
1866593.0190092213,78750.0
1602879.3656578697,79470.0
1665531.6031096915,80190.0
1896295.5120263197,80910.0
1896118.848705137,81630.0
1927190.9073888864,82350.0
1964401.9827683785,83070.0
1854762.902796032,83790.0
1563249.5465562535,84510.0
1575208.5056309572,85230.0
1925804.647100757,85950.0
1889008.8418770833,86670.0
1896444.5907560848,87390.0
1900745.3784715098,88110.0
1909102.3163598296,88830.0
1579046.2778226424,89550.0
1582100.0558198537,90270.0
1956686.14261111,90990.0
1899891.6947358316,91710.0
1995693.421277563,92430.0
1937845.6482233638,93150.0
1906642.8199981097,93870.0
1560166.118563559,94590.0
1601005.175241644,95310.0
1936201.867912518,96030.0
1931187.2805729827,96750.0
1921673.7824812045,97470.0
1917559.6193088102,98190.0
1927615.4467309695,98910.0
1568182.3493572355,99630.0
1574687.2669296316,100350.0
1941849.8290264283,101070.0
1893824.2845482451,101790.0
1912999.1739824142,102510.0
1939282.0136021737,103230.0
1978911.2317881696,103950.0
1645435.3698290428,104670.0
1587493.7869176813,105390.0
1866026.7283620883,106110.0
1872728.2183188791,106830.0
1974845.2357294671,107550.0
1908964.2470350775,108270.0
1949064.72254125,108990.0
1595100.9448600425,109710.0
1585761.6296390228,110430.0
1877448.0748440805,111150.0
1971367.57706356,111870.0
1849138.265586091,112590.0
1883114.9788749402,113310.0
1891412.760155275,114030.0
1607781.1564045378,114750.0
1610892.893991042,115470.0
1918808.7318560318,116190.0
1894870.087711798,116910.0
1843031.9721579228,117630.0
1909238.1945055574,118350.0
1952615.6977860928,119070.0
1606160.9963721428,119790.0
1613155.558711877,120510.0
1878815.8145589875,121230.0
1926416.7625400666,121950.0
1937152.3112338549,122670.0
1944492.8366545637,123390.0
1910309.5158795658,124110.0
1592256.9684263542,124830.0
1592344.701396401,125550.0
1843497.3339045655,126270.0
1871115.3861665707,126990.0
1918575.7976141963,127710.0
1951045.4862663683,128430.0
1937523.144891535,129150.0
1600259.0753481712,129870.0
1578038.3208975242,130590.0
1906774.5924938873,131310.0
1927668.1096078039,132030.0
1890293.6786447458,132750.0
1912471.345807227,133470.0
1952962.646929192,134190.0
1590293.0424265016,134910.0
1632781.6557678306,135630.0
1818780.908314524,136350.0
1894221.573046228,137070.0
1934077.1122842336,137790.0
1901757.6263035396,138510.0
1947772.1764299278,139230.0
1570887.8025671565,139950.0
1600676.8124640137,140670.0
1902196.7593885974,141390.0
1862863.5481765084,142110.0
1946391.558423028,142830.0
1867459.3834780285,143550.0
1891893.917547399,144270.0
1574360.4095207846,144990.0
1607581.8372904183,145710.0
1928363.9411839899,146430.0
1918596.6944980966,147150.0
1934031.3550873809,147870.0
1988189.953863781,148590.0
1923024.3819809214,149310.0
1581600.0098349133,150030.0
1563053.199054848,150750.0
1866940.4571462902,151470.0
1934727.7999915113,152190.0
1872124.8508109043,152910.0
1905950.0361247163,153630.0
1933536.9805242575,154350.0
1580070.6518876255,155070.0
1596287.75139598,155790.0
1959690.5298948823,156510.0
1893414.5040003052,157230.0
1911814.7209439555,157950.0
1909177.531864964,158670.0
1850318.662788265,159390.0
