"Utility","tick"
1858592.643549373,270.0
1845887.4264523066,990.0
1968191.3204959743,1710.0
1859859.886404891,2430.0
1934156.7102584057,3150.0
1592728.5121460503,3870.0
1611601.4405564005,4590.0
1948363.5541308012,5310.0
1962087.8351633318,6030.0
1933087.4107630046,6750.0
1907714.8555222987,7470.0
1897122.6856810872,8190.0
1589228.9800550565,8910.0
1593667.753229844,9630.0
1983930.8536945917,10350.0
1928837.9930268812,11070.0
1981113.6655705778,11790.0
1913479.6767344477,12510.0
1923671.40841186,13230.0
1592198.8814602767,13950.0
1587416.541298057,14670.0
1901845.7178091537,15390.0
1945416.798033119,16110.0
1853517.848113065,16830.0
1912389.8107953372,17550.0
1931530.969711872,18270.0
1549412.8673933467,18990.0
1567860.1205107062,19710.0
1898874.8106078699,20430.0
1926645.4814094186,21150.0
1902759.8985988821,21870.0
1875345.5554578349,22590.0
1875332.2910621618,23310.0
1570027.3751670523,24030.0
1595795.2713792105,24750.0
1929040.8706999572,25470.0
1909680.231125386,26190.0
1890131.10600522,26910.0
1890623.161238125,27630.0
1889205.925322443,28350.0
1590075.9203080516,29070.0
1594886.5386847926,29790.0
1939347.0875776797,30510.0
1868163.777528123,31230.0
1892626.8975124357,31950.0
1925721.3716686866,32670.0
1937831.2884609788,33390.0
1583865.1216421672,34110.0
1572767.398140827,34830.0
1907404.076387268,35550.0
1806059.1647091375,36270.0
1889127.6409329649,36990.0
1911205.4925174578,37710.0
1904295.0913601043,38430.0
1566021.7934845323,39150.0
1602732.1564866113,39870.0
1902948.4299638981,40590.0
1930732.3879182339,41310.0
1971705.598470209,42030.0
1846940.8048082737,42750.0
1920087.1046365409,43470.0
1639932.8874760692,44190.0
1606097.7543613927,44910.0
1910019.7694101848,45630.0
1901513.6354875746,46350.0
1864989.3310149992,47070.0
1859017.8295861871,47790.0
1973724.0812500415,48510.0
1579405.3353505272,49230.0
1596446.5499214898,49950.0
1887212.3764578048,50670.0
1858068.7257049263,51390.0
1914990.700209899,52110.0
1941710.253751585,52830.0
1923699.6044772405,53550.0
1583926.4069766565,54270.0
1609342.3639860891,54990.0
1884134.5066649697,55710.0
1929806.3800106242,56430.0
1877952.2282537671,57150.0
1871233.4159554394,57870.0
1911806.0938853142,58590.0
1610863.4159151912,59310.0
1606374.6399845376,60030.0
1837457.6897993449,60750.0
1954795.5759969365,61470.0
1852894.6225350264,62190.0
1922393.8889830073,62910.0
1844822.2694825341,63630.0
1585949.9430270754,64350.0
1596067.7110459825,65070.0
1885454.1896981746,65790.0
1881093.6778821591,66510.0
1891234.2205559697,67230.0
1926834.5166085202,67950.0
1910692.5153638294,68670.0
1553829.868202567,69390.0
1588510.4285399285,70110.0
1934267.6295189972,70830.0
1851223.3338046295,71550.0
1884748.81391813,72270.0
1903236.0436126927,72990.0
1952838.3955186945,73710.0
1610997.2954538676,74430.0
1612018.6765947593,75150.0
1895993.020001607,75870.0
1901526.2677229526,76590.0
1886267.5678021377,77310.0
1966596.5311791748,78030.0
1930958.4439492214,78750.0
1565636.1045692812,79470.0
1565950.9082733963,80190.0
1978741.1956377374,80910.0
1953686.9455876392,81630.0
1933173.3963988875,82350.0
1941430.2938511688,83070.0
1944207.4303683266,83790.0
1610590.0463351896,84510.0
1557082.5322725533,85230.0
1905111.6652118163,85950.0
1923814.5156493913,86670.0
1868390.2034700857,87390.0
1901611.381733806,88110.0
1876910.975791917,88830.0
1624827.5312071121,89550.0
1621736.1824286713,90270.0
1902012.7761688451,90990.0
1865775.1953888305,91710.0
1865125.0201280569,92430.0
1868646.473752629,93150.0
1901270.0020182433,93870.0
1589526.138223638,94590.0
1590601.2989519814,95310.0
1910317.6294010435,96030.0
1978494.8023096577,96750.0
1861333.2956265393,97470.0
1838623.171308141,98190.0
1933652.5584917276,98910.0
1594911.0828288244,99630.0
1570987.3366945297,100350.0
1913818.2526926117,101070.0
1973785.1271838127,101790.0
1932288.122992981,102510.0
1865969.3330911356,103230.0
1922291.4273013673,103950.0
1584520.6256408237,104670.0
1652743.5117990086,105390.0
1899691.166031063,106110.0
1875996.6908142124,106830.0
1848365.879117688,107550.0
1909948.8651381584,108270.0
1878845.6116124836,108990.0
1605498.6412757551,109710.0
1582531.8107486323,110430.0
1887550.4767066198,111150.0
1990716.1720720269,111870.0
1990556.5560854108,112590.0
1951716.1496352206,113310.0
1895493.9130600004,114030.0
1599321.5208287688,114750.0
1598201.753204763,115470.0
1839876.6281211586,116190.0
1934355.0926476677,116910.0
1932465.4597375845,117630.0
1925225.5136940232,118350.0
1936541.6967896447,119070.0
1615276.684954448,119790.0
1594383.587934221,120510.0
1950528.8549048118,121230.0
1865252.284069644,121950.0
1835055.4058186247,122670.0
1873664.4598642173,123390.0
1928016.792205371,124110.0
1543269.352527494,124830.0
1609992.867809598,125550.0
1903776.3095157798,126270.0
1917617.8501339634,126990.0
1909982.3879035828,127710.0
1934008.6580282908,128430.0
1930592.3061361026,129150.0
1550365.5133467629,129870.0
1592440.569221389,130590.0
1900739.5129943294,131310.0
1868392.4773686337,132030.0
1949006.5717395719,132750.0
1879432.370915521,133470.0
1928771.1818345694,134190.0
1573818.7475752798,134910.0
1611694.4353336045,135630.0
1880010.4597436795,136350.0
1908399.6138687015,137070.0
1901921.7859719533,137790.0
1853676.2326915085,138510.0
1943553.3041591176,139230.0
1616737.0956593028,139950.0
1615515.2208752546,140670.0
1888353.295858152,141390.0
1889394.635296015,142110.0
1870860.758929453,142830.0
1913131.1285477388,143550.0
1946556.1809787983,144270.0
1620670.8838931224,144990.0
1619768.9785560502,145710.0
1924557.10398966,146430.0
1877994.39940019,147150.0
1891586.1082495374,147870.0
1887371.7526179182,148590.0
1949625.1005721318,149310.0
1602618.0736461696,150030.0
1580420.038063957,150750.0
1860535.3562865746,151470.0
1864416.3436636317,152190.0
1888334.222703597,152910.0
1870328.5238528906,153630.0
1958885.9841568784,154350.0
1573000.771825667,155070.0
1620759.1450555716,155790.0
1946127.726224374,156510.0
1901489.05317984,157230.0
1908909.7851447884,157950.0
1915702.7393118078,158670.0
1850660.219792165,159390.0
1601837.3074313959,160110.0
1575258.9027783067,160830.0
1904670.4074799288,161550.0
1905563.8936297735,162270.0
1943269.4585757789,162990.0
1905550.3524115838,163710.0
1901704.5526666772,164430.0
1560631.7144970705,165150.0
1588256.1095713312,165870.0
1894289.4834106816,166590.0
1898511.8085902182,167310.0
1896942.4426771223,168030.0
1965380.1605225625,168750.0
1897319.2850971636,169470.0
1592187.181658509,170190.0
1600313.1606384048,170910.0
1907769.298173561,171630.0
1854885.3758678362,172350.0
1868879.0318480122,173070.0
1832849.3844305258,173790.0
1891546.6379161368,174510.0
1604891.4805308545,175230.0
1580274.3530820066,175950.0
