"Utility","tick"
1868231.9093222842,270.0
1878321.1594630538,990.0
1923736.721145569,1710.0
1857048.7251972992,2430.0
1879589.1804184504,3150.0
1600033.4787949035,3870.0
1604010.9530770446,4590.0
1913156.4399604332,5310.0
1880408.4375071975,6030.0
1857610.305780527,6750.0
1958072.8422179199,7470.0
1901804.5612132004,8190.0
1617669.5292908158,8910.0
1576809.2820881694,9630.0
1894202.0995864037,10350.0
1949898.3487267676,11070.0
1964225.9715926573,11790.0
1987480.3922385317,12510.0
1922432.6669043545,13230.0
1600701.594530181,13950.0
1593989.5651410741,14670.0
1867266.6290760709,15390.0
1877198.2661245596,16110.0
1946425.0189729282,16830.0
1892015.3729405385,17550.0
1870916.5671010853,18270.0
1612264.8470861698,18990.0
1561091.0308162249,19710.0
1878753.684708764,20430.0
1949232.2604513671,21150.0
1840910.904586541,21870.0
1881962.9932149872,22590.0
1867430.5012660904,23310.0
1596398.1715361911,24030.0
1624448.5176691778,24750.0
1913674.2712322671,25470.0
1887085.8116299578,26190.0
1961284.1897589976,26910.0
1832815.8128278118,27630.0
1924147.599442628,28350.0
1603484.5595763884,29070.0
1596986.6236133124,29790.0
1899665.499498375,30510.0
1949874.2501871882,31230.0
1914441.7381480937,31950.0
1919086.1623366536,32670.0
1939289.3149523525,33390.0
1574420.2705181532,34110.0
1580968.4487927293,34830.0
1876478.132994063,35550.0
1893789.4925111867,36270.0
1919764.8699381931,36990.0
1891449.5545155555,37710.0
1917972.8174553274,38430.0
1583288.0607758416,39150.0
1620648.8306082378,39870.0
1864797.3741366882,40590.0
1936975.8389286115,41310.0
1902313.3808216292,42030.0
1973707.289468978,42750.0
1901374.7630487531,43470.0
1587895.5288515217,44190.0
1573761.3623953785,44910.0
1916821.5571799832,45630.0
1884414.3200122563,46350.0
1905914.7463368773,47070.0
1943145.618656934,47790.0
1883913.1548139215,48510.0
1563763.8466352439,49230.0
1595032.1108300765,49950.0
1919591.5755342457,50670.0
1882329.2021642826,51390.0
1833605.120504393,52110.0
1909138.9519338843,52830.0
1922304.4096824252,53550.0
