"Utility","tick"
1861772.1850857565,270.0
1868189.7599570414,990.0
1958843.3935859783,1710.0
1840539.8224800443,2430.0
1945689.380181567,3150.0
1588726.2386423706,3870.0
1598223.8226174891,4590.0
1881254.2231571863,5310.0
1955857.0227406498,6030.0
1925867.3166858447,6750.0
1958017.7039063314,7470.0
1915634.2766953893,8190.0
1593651.769089127,8910.0
1574715.9427142926,9630.0
1957037.8077654454,10350.0
1931630.85494833,11070.0
1912113.155280201,11790.0
1942963.235997032,12510.0
1878471.1167420105,13230.0
1598088.7640862495,13950.0
1592159.2749590785,14670.0
1846461.196352462,15390.0
1947683.9970396433,16110.0
1839044.4815904594,16830.0
1952247.6108546485,17550.0
1951297.3260194247,18270.0
1553821.4412665893,18990.0
1561571.4123581448,19710.0
1907788.6107898175,20430.0
1938890.656433758,21150.0
1873839.39506232,21870.0
1871084.4019861587,22590.0
1960113.3832338366,23310.0
1581189.635877984,24030.0
1600344.8474364243,24750.0
1908525.3427702235,25470.0
1950077.2702049941,26190.0
1879844.7156780723,26910.0
1897956.9404276425,27630.0
1915750.5847909222,28350.0
1595042.419850722,29070.0
1593229.921250994,29790.0
1903260.6110218954,30510.0
1857974.6817064057,31230.0
1936595.5052795417,31950.0
1885942.0592887974,32670.0
1881010.4602829795,33390.0
1573605.4962542688,34110.0
1559662.7113875425,34830.0
1848342.5071396474,35550.0
1846947.3316903845,36270.0
1892521.9671732914,36990.0
1844251.836954098,37710.0
1965358.2560569262,38430.0
1570968.5823289156,39150.0
1594755.4394519548,39870.0
1825831.1930696839,40590.0
1932879.417706653,41310.0
1982413.925130985,42030.0
1851029.6722359792,42750.0
1912511.1718940255,43470.0
1637762.1116041788,44190.0
1599167.5216700302,44910.0
1807811.5997822122,45630.0
1925207.5441166144,46350.0
1864478.5014713756,47070.0
1862677.4180483108,47790.0
1958741.7127337265,48510.0
1581839.160647925,49230.0
1589858.2837282915,49950.0
1940222.6927008058,50670.0
1906665.0695560386,51390.0
1942882.0344815855,52110.0
1896999.0259836318,52830.0
1912072.5787109635,53550.0
1595617.3920794192,54270.0
1605226.2474172895,54990.0
1909097.7609323035,55710.0
1929960.8511233162,56430.0
1823752.7960464577,57150.0
1930985.0913281604,57870.0
1934550.8129876305,58590.0
1621726.5493753639,59310.0
1607581.2539231263,60030.0
1901481.6830565177,60750.0
1935032.4051396863,61470.0
1843081.9957341733,62190.0
1842102.8655419683,62910.0
1914639.7107404987,63630.0
1583467.354211303,64350.0
1594396.4810576483,65070.0
1878184.568934779,65790.0
1881090.0291898244,66510.0
1853970.7610151938,67230.0
1917356.7697418958,67950.0
1918073.4005752846,68670.0
1561564.8048257264,69390.0
1572247.9816064548,70110.0
1941662.4397659271,70830.0
1906594.7719500966,71550.0
1865228.310658474,72270.0
1883884.1693742075,72990.0
1896515.635079554,73710.0
1582848.0069682535,74430.0
1598178.50245613,75150.0
1854948.458529482,75870.0
1910671.457786766,76590.0
1867431.5846701704,77310.0
1909464.274015778,78030.0
1890405.2032188815,78750.0
1611865.3962905004,79470.0
1584775.5192989672,80190.0
1942490.0845007244,80910.0
1920429.169198007,81630.0
1839657.020899162,82350.0
1934247.2632730037,83070.0
1943354.3876237455,83790.0
1596473.5131578085,84510.0
1564047.5109537595,85230.0
1913884.5333181538,85950.0
1887914.7541960094,86670.0
1936854.0787473568,87390.0
1910211.9668670779,88110.0
1864413.2927394735,88830.0
1589802.8631076985,89550.0
1609534.2493820286,90270.0
1854595.0909725688,90990.0
1813048.2947954573,91710.0
1888230.0551843403,92430.0
1917308.5377576353,93150.0
1908204.5708579828,93870.0
1586005.6995847565,94590.0
1602742.4104886483,95310.0
1963787.0456844028,96030.0
1957861.1334457998,96750.0
1940455.9968945466,97470.0
1884007.4990466866,98190.0
1874370.744361131,98910.0
1585915.9818199072,99630.0
1567818.1846496214,100350.0
1919850.0076830229,101070.0
1968952.418539456,101790.0
1895301.9421920513,102510.0
1917154.240923682,103230.0
1861492.301366236,103950.0
1554530.1117465268,104670.0
1620087.901382696,105390.0
1932899.61354584,106110.0
1910137.2493054832,106830.0
1927064.406283939,107550.0
1891836.3353219675,108270.0
1946640.5301289076,108990.0
1626263.28109018,109710.0
1545129.4239762044,110430.0
1897231.4811237394,111150.0
1917911.1560199466,111870.0
1929346.2720729916,112590.0
1912186.7806893315,113310.0
1939793.4260453137,114030.0
1556131.4832195304,114750.0
1585468.1415324425,115470.0
1832018.1839433024,116190.0
1920528.8253544648,116910.0
1910977.920974097,117630.0
1909904.2493390837,118350.0
1943527.641825773,119070.0
1602715.844714744,119790.0
1596059.856470087,120510.0
1878647.741951767,121230.0
1944888.9999930346,121950.0
1869967.401138425,122670.0
1888059.5175063636,123390.0
1867533.9523687514,124110.0
